SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,TEACHERS,TOTAL_INDICATOR,DMS_FLAG
2022-2023,01,ALABAMA,AL,Albertville Middle School,01,,AL-101,0100005,AL-101-0010,010000500870,0100870,45.00,Education Unit Total,Reported
2022-2023,01,ALABAMA,AL,Albertville High School,01,,AL-101,0100005,AL-101-0020,010000500871,0100871,85.20,Education Unit Total,Reported
2022-2023,01,ALABAMA,AL,Albertville Intermediate School,01,,AL-101,0100005,AL-101-0110,010000500879,0100879,43.00,Education Unit Total,Reported
2022-2023,01,ALABAMA,AL,Albertville Elementary School,01,,AL-101,0100005,AL-101-0200,010000500889,0100889,43.00,Education Unit Total,Reported
2022-2023,01,ALABAMA,AL,Albertville Kindergarten and PreK,01,,AL-101,0100005,AL-101-0035,010000501616,0101616,26.00,Education Unit Total,Reported
2022-2023,01,ALABAMA,AL,Albertville Primary School,01,,AL-101,0100005,AL-101-0005,010000502150,0102150,61.00,Education Unit Total,Reported
2022-2023,01,ALABAMA,AL,Kate Duncan Smith DAR Middle,01,,AL-048,0100006,AL-048-0143,010000600193,0100193,22.03,Education Unit Total,Reported
2022-2023,01,ALABAMA,AL,Asbury High School,01,,AL-048,0100006,AL-048-0030,010000600872,0100872,34.27,Education Unit Total,Reported
2022-2023,01,ALABAMA,AL,Claysville School,01,,AL-048,0100006,AL-048-0070,010000600876,0100876,,Education Unit Total,Missing
2022-2023,01,ALABAMA,AL,Douglas Elementary School,01,,AL-048,0100006,AL-048-0090,010000600877,0100877,25.00,Education Unit Total,Reported
2022-2023,01,ALABAMA,AL,Douglas High School,01,,AL-048,0100006,AL-048-0100,010000600878,0100878,34.27,Education Unit Total,Reported
2022-2023,01,ALABAMA,AL,Brindlee Mountain Elementary School,01,,AL-048,0100006,AL-048-0120,010000600880,0100880,11.00,Education Unit Total,Reported
2022-2023,01,ALABAMA,AL,Kate D Smith DAR High School,01,,AL-048,0100006,AL-048-0140,010000600883,0100883,23.47,Education Unit Total,Reported
2022-2023,01,ALABAMA,AL,Brindlee Mountain Primary School,01,,AL-048,0100006,AL-048-0180,010000600887,0100887,13.65,Education Unit Total,Reported
2022-2023,01,ALABAMA,AL,Marshall Alternative School,01,,AL-048,0100006,AL-048-0150,010000600986,0100986,,Education Unit Total,Missing
2022-2023,01,ALABAMA,AL,Marshall Technical School,01,,AL-048,0100006,AL-048-0160,010000600987,0100987,,Education Unit Total,Missing
2022-2023,01,ALABAMA,AL,Robert D Sloman Primary,01,,AL-048,0100006,AL-048-0095,010000601413,0101413,34.67,Education Unit Total,Reported
2022-2023,01,ALABAMA,AL,Brindlee Mountain High School,01,,AL-048,0100006,AL-048-0042,010000601585,0101585,30.50,Education Unit Total,Reported
